,Time,sailActive,sailPosX,sailPosY,sailPosZ,earthPosX,earthPosY,earthPosZ,distanceToNEO
0,0.0,0,0.3509455068803919,-0.9540982489007054,0.0,0.34461671494872964,-0.9563787340343336,5.124443734039815e-05,0.46068884747652217
1,5.0,0,0.4289695170140246,-0.9213750284065871,0.0,0.4228523012915211,-0.9241739374009608,5.1932035215354785e-05,0.48098348286280485
2,10.0,0,0.5039718921424422,-0.8821601162327845,0.0,0.4981088028411467,-0.8854583587351094,5.225377050127454e-05,0.5016770831056283
3,15.0,0,0.5754202038344817,-0.8367228691349083,0.0,0.5698521756848087,-0.8404979561913284,5.2206974603921256e-05,0.5224729606153431
4,20.0,0,0.64280458995141,-0.7853752386752711,0.0,0.6375706847929439,-0.7896014020122668,5.179145343468277e-05,0.5431100803333324
5,25.0,0,0.7056410045160391,-0.7284701179426508,0.0,0.7007781596304379,-0.7331184466066929,5.100950303767327e-05,0.563358759570571
6,30.0,0,0.7634743882536773,-0.6663994639059286,0.0,0.7590171712591507,-0.6714380585932211,4.986591327228451e-05,0.5830164435252477
7,35.0,0,0.8158817481032281,-0.5995921909923044,0.0,0.8118621194003875,-0.6049863364158592,4.8367959048539273e-05,0.6019038871979611
8,40.0,0,0.8624751318641316,-0.5285118313604141,0.0,0.8589222157824499,-0.5342241870110284,4.652537854947145e-05,0.6198618743600576
9,45.0,0,0.9029044817698394,-0.4536539577077638,0.0,0.8998443477688087,-0.45964476730704534,4.435033782541211e-05,0.6367484943605695
10,50.0,0,0.9368603483474588,-0.37554336523655774,0.0,0.9343158038089183,-0.3817706851135332,4.1857381113246426e-05,0.6524369438223727
11,55.0,0,0.9640764433973817,-0.2947310107603985,0.0,0.962066839749153,-0.30115095725052854,3.906336622316792e-05,0.6668137988322984
12,60.0,0,0.9843320084727482,-0.21179070880226405,0.0,0.9828730625685614,-0.2183577246087315,3.598738434988999e-05,0.6797776992435607
13,65.0,0,0.9974539728970012,-0.12731558700957074,0.0,0.9965576057567984,-0.1339827262457238,3.265066370817719e-05,0.6912383912399669
14,70.0,0,1.0033188732709764,-0.04191430618978378,0.0,1.0029930684327493,-0.04863353761755548,2.9076456467115294e-05,0.7011160825034091
15,75.0,0,1.001854504645345,0.043792945893841424,5.0579817132879405e-05,1.0021031885235907,0.03707041838609169,2.5289908566439702e-05,0.7093462658835675
16,80.0,0,0.9930412723127525,0.1291786741404442,4.2635824286957275e-05,0.9938642190030709,0.12250207481863443,2.1317912143478637e-05,0.7158575080014361
17,85.0,0,0.9769132124039777,0.2136124910481876,3.4377880963912456e-05,0.9783059754453203,0.20703112106518937,1.7188940481956228e-05,0.7206068299080094
18,90.0,0,0.9535586495506351,0.2964657043266128,2.5865731228013372e-05,0.9555125231062256,0.2900285778024662,1.2932865614006686e-05,0.7235549909804826
19,95.0,0,0.923120460684522,0.37711604885578476,1.7161517925894454e-05,0.9256224725118994,0.37087151872340124,8.580758962947227e-06,0.7246736634166044
20,100.0,0,0.8857959157960518,0.4549525292342392,8.329351407502404e-06,0.8888288542145538,0.44894790565663817,4.164675703751202e-06,0.7239461424005101
21,105.0,0,0.8418360692481358,0.5293803334619934,-5.651523275574458e-07,0.8453785460531427,0.5236614981042573,-2.825761637787229e-07,0.7213682370358032
22,110.0,0,0.7915446790425714,0.5998257729184512,-9.45536138748658e-06,0.7955712299868355,0.5944367927503305,-4.72768069374329e-06,0.7169493270182196
23,115.0,0,0.7352766363336646,0.665741198664678,-1.8274142269501313e-05,0.7397578603786628,0.6607239433574768,-9.137071134750657e-06,0.7107135618806139
24,120.0,0,0.6734358934450254,0.7266098395636872,-2.695439456652633e-05,0.6783386314805571,0.7220036068830952,-1.3477197283263165e-05,0.7027011674487066
25,125.0,1,0.6060676852474621,0.7811148577969628,-3.3116430832660874e-05,0.6117604387513574,0.7777916578324294,-1.7714800648277674e-05,0.6924519959055491
26,130.0,1,0.5348886224744188,0.8304378811437416,0.0001261421452196951,0.540513836419843,0.8276437100407851,-2.1817194692921047e-05,0.6808568633744103
27,135.0,1,0.4603414019220493,0.8742931328193169,0.0004362325078503413,0.4651295022303183,0.8711593834462521,-2.5752547117936276e-05,0.6679087854800214
28,140.0,1,0.3828780413776073,0.9124656189562725,0.000853786638870941,0.38617422937468326,0.9079862531564586,-2.949016089718411e-05,0.6536471567370589
29,145.0,1,0.30296644252316124,0.9447811305564585,0.0012851140064722788,0.30424647497533036,0.9378234193689208,-3.300075057899876e-05,0.6381293879324433
30,150.0,1,0.22113096257981965,0.971063582543248,0.0015871649355595821,0.21997150385367606,0.960424639566734,-3.625671024119549e-05,0.6213731203507306
31,155.0,1,0.1380071507495337,0.9911030287383575,0.0016333542297021794,0.13399617539084208,0.9756009689128096,-3.923236944147991e-05,0.6032900560280098
32,160.0,1,0.054323076252419625,1.0046625617929823,0.0014434340484414455,0.04698342973830892,0.9832228608741043,-4.190423354616798e-05,0.5836921190616112
33,165.0,1,-0.029376451001232498,1.0117866402515219,0.0010156112230128949,-0.04039346284781837,0.9832216877200645,-4.4251204952466674e-05,0.5626971873575131
34,170.0,1,-0.11260135344405367,1.0126049241244677,0.0003337441264798065,-0.12745681950510754,0.9755906494858736,-4.625478194391268e-05,0.5404947135269899
35,175.0,1,-0.19489440915702805,1.0072865880555364,-0.000609449672713225,-0.21353055425693604,0.9603850500332974,-4.78992322306523e-05,0.5172941227263963
36,180.0,1,-0.27583253376567085,0.9960337258679097,-0.0018117514100993702,-0.29794620160452134,0.9377219296904923,-4.9171738620462814e-05,0.4933175231739905
